,English,Hindi
0,be,होना
1,to,को
2,of,का
3,and,और
4,a,ए
5,in,में
6,that,वह
7,have,पास होना
8,I,मैं
9,it,यह
10,for,के लिए
11,not,नहीं
12,on,पर
13,with,साथ
14,he,वह
15,as,जैसा
16,you,आप
17,do,करना
18,at,पर
19,this,यह
20,but,लेकिन
21,his,उसका
22,by,द्वारा
23,from,से
24,they,वे
25,we,हम
26,say,कहना
27,her,उसकी
28,she,वह
29,or,या
30,an,एक
31,will,इच्छा
32,my,मेरा
33,one,एक
34,all,सभी
35,would,चाहेंगे
36,there,वहाँ
37,their,उनका
38,what,क्या
39,so,इसलिए
40,up,ऊपर
41,out,बाहर
42,if,अगर
43,about,के बारे में
44,who,कौन
45,get,पाना
46,which,कौन
47,go,जाना
48,me,मुझे
49,when,कब
50,make,बनाना
51,can,कर सकना
52,like,पसंद
53,time,समय
54,no,नहीं
55,just,अभी
56,him,उसे
57,know,जानना
58,take,लेना
59,people,लोग
60,into,में
61,year,वर्ष
62,your,आपका
63,good,अच्छा
64,some,कुछ
65,could,सकना
66,them,उन्हें
67,see,देखना
68,other,अन्य
69,than,बजाय
70,then,तब
71,now,अब
72,look,देखना
73,only,केवल
74,come,आना
75,its,इसका
76,over,ऊपर
77,think,सोचना
78,also,भी
79,back,पीछे
80,after,बाद
81,use,उपयोग
82,two,दो
83,how,कैसे
84,our,हमारा
85,work,काम
86,first,पहला
87,well,कुंआ
88,way,रास्ता
89,even,यहां तक की
90,new,नया
91,want,चाहना
92,because,क्योंकि
93,any,कोई
94,these,इन
95,give,देना
96,day,दिन
97,most,अधिकांश
98,us,हम
